title,popularity,release_date,runtime,vote_average
Avatar,150.437577,12/10/2009,162,7.2
Pirates of the Caribbean: At World's End,139.082615,5/19/2007,169,6.9
Spectre,107.376788,10/26/2015,148,6.3
The Dark Knight Rises,112.31295,7/16/2012,165,7.6
John Carter,43.926995,3/7/2012,132,6.1
Spider-Man 3,115.699814,5/1/2007,139,5.9
Tangled,48.681969,11/24/2010,100,7.4
Avengers: Age of Ultron,134.279229,4/22/2015,141,7.3
Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,153,7.4
Batman v Superman: Dawn of Justice,155.790452,3/23/2016,151,5.7
